Date,Carbon_Intensity,Renewable_Percentage
2021-01-01,432.89,38.46
2021-02-01,362.4,43.9
2021-03-01,344.88,47.09
2021-04-01,332.56,49.55
2021-05-01,266.96,55.68
2021-06-01,362.86,45.36
2021-07-01,343.8,46.36
2021-08-01,318.83,49.5
2021-09-01,437.12,40.01
2021-10-01,371.17,48.59
2021-11-01,451.02,38.32
2021-12-01,432.22,40.6
2022-01-01,418.26,47.94
2022-02-01,312.27,60.43
2022-03-01,458.09,43.88
2022-04-01,372.79,53.16
2022-05-01,363.89,55.71
2022-06-01,401.77,52.67
2022-07-01,391.03,50.82
2022-08-01,444.99,46.3
2022-09-01,447.96,47.32
2022-10-01,379.84,52.96
2022-11-01,429.43,50.03
2022-12-01,475.96,43.68
2023-01-01,367.08,54.0
2023-02-01,402.61,47.83
2023-03-01,326.87,55.77
2023-04-01,320.5,58.95
2023-05-01,248.86,66.42
2023-06-01,270.48,62.09
2023-07-01,225.5,66.91
2023-08-01,283.91,59.68
2023-09-01,316.14,57.57
2023-10-01,306.66,60.77
2023-11-01,333.42,57.45
2023-12-01,325.09,57.95
2024-01-01,317.96,57.25
2024-02-01,282.24,61.63
2024-03-01,292.76,60.94
2024-04-01,225.47,68.49
2024-05-01,219.31,68.42
2024-06-01,231.1,67.34
2024-07-01,226.4,67.41
2024-08-01,245.93,64.37
2024-09-01,252.33,64.82
2024-10-01,311.86,58.22
2024-11-01,361.08,50.36
2024-12-01,311.47,56.37
